专业类别名称,简介
应用统计,"应用统计硕士（MasterofAppliedStatistics，缩写为MAS）专业学位以现代统计理论和先进统计分析方法为基础，是统计学与相关学科领域相结合、复合型与实性紧密结合的专业学位类别，致力于为政府部门、大中型企业、咨询和研究机构培养高层次、复合型、应用统计人才。"
能源动力,"动力工程专业领域隶属于能源动力类别。2018年学校获得能源与环保领域工程博士专业学位授予权，2019年将该领域调整为能源动力类别。本领域依托动力工程及工程热物理一级学科博主点、博士后流动站及山东省重点学科建设，汇集了以“方人计划”领军人才、中青年科技创新领军人才、青年长江学者引领的本领域国内外知名专家学者为核心的高素质师资队伍，建设了山东省高等学校青年创新团队、山东省高等学校“青创科技计划”团队等高水平科研创新团队。本领域面向国家能源战略及节能减排发展需求，围绕动力工程领域的工程问题，开展能源高效清洁开发、转换、存储、传输和利用的基础理论和装备技术研究，在化工过程机械、热能工程、新能源与能源高效利用等多个方面形成了自己的特色与优势，成为能源与装备专业领域科学研究和人才培养的重要基地。"
新一代电子信息技术,"‘新一代电子信息技术’领域属于‘电子信息’类别专业学位硕士点。中国石油大学（华东）2012年获批‘电子与通信工程’全日制工程硕士点，2020年改设为‘电子信息’类别的‘现代电子系统设计’专业学位硕士点，2021年更名为‘电子信息’类别的‘新一代电子信息技术’领域专业学位硕士点。本领域面向电子、通信、计算机、油气、海洋等行业中的应用场景，以通用和专用先进电子信息系统设计与研发为主线，培养应用型、复合型电子信息工程技术与工程管理人才。毕业生能够从事人工智能、信息、通信、计算机软硬件等方面的研发、管理等工作，同时能够在油气、海洋及其他应用领域开展行业相关的电子信息技术工作。"
大数据技术与工程,"大数据技术与工程专业领域是电子信息专业学位授权类别下设置的硕士专业学位授权领域之一，其培养方向包括大数据计算、大数据分析、领域大数据应用等，是学校服务国家新旧动能转换重大工程的重点拓展领域。本领域依托计算机科学与技术一级学科硕士学位授权点、软件工程一级学科硕士学位授权点，覆盖大数据采集与预处理、大数据存储与管理、大数据计算模式、大数据分析与挖掘、大数据可视化、大数据安全等研究内容。"
测绘工程,"测绘工程专业领域是资源与环境硕士专业学位类别下设置的高层次专门人才培养领域之一，依托测绘科学与技术一级学科建设。本专业领域结合学校特色和办学优势，在空间信息技术、卫星导航与定位、海洋测绘与遥感等前沿科技领域具有丰厚的研究积累和鲜明的领域特色，拥有由国内知名专家学者领军的高素质师资队伍，以及高水平的科技研发平台。"
化学工程,"中国石油大学（华东）化学工程领域设置于2008年，旨在培养石油和化工领域高层次复合型、应用型工程技术人才和管理人才。该领域是研究化学工业过程中的化学过程与物理过程共同规律与应用技术的工程领域，强调基础理论与工程应用相结合，研究领域涵盖产品研制、工艺开发、过程设计、系统模拟、装备强化、操作控制、环境保护、安全生产技术、生产管理等，已成为石油石化特色鲜明、国际知名的能源化工和现代化工领域人才培养和科学研究基地。"
电气工程,"电气工程专业领域是一个运用科学的理论、方法、技术与装备实现现代电力系统运行与控制，以提高新能源消纳、电力电子化设备接入能力并实现与其他能源互联的专业。该领域涉及数学、物理、电磁学等基础学科，并与动力工程、控制科学与工程、电子与信息等工程领域密切关联。本专业领域作为能源动力类别的重要组成部分，面向国家能源战略需求，主要研究特种电机与电器、新能源电力变换、电力系统及其自动化等。"
翻译硕士,"中国石油大学（华东）翻译硕士（俄语笔译）于2011年开始招生，是国内开设俄语笔译翻译硕士的25所院校之一。该专业领域的培养方向包括能源科技翻译和公共服务翻译，其中能源科技翻译为该专业领域的特色方向。主要培养具有娴熟俄汉翻译技能、较强英语应用能力及一定能源领域相关知识的‘俄语+英语+能源’高层次、应用型语笔译人才。"
地质工程,"地质工程领域是以地球科学理论为基础，以地质调查、资源勘查、油气勘探、重大工程等涉及的地质工程问题为研究对象，以地质学、地球物理学、地球化学、数学地质方法、新一代信息技术、工程地质方法等为手段，为国民经济建设服务的先导性工程领域。依托‘双一流’建设学科‘地质资源与地质工程’，本领域拥有优良的科研学术、工程技术开发与应用的基础条件。"
人工智能,"人工智能专业领域是电子信息专业学位授权类别下设置的硕士专业学位授权领域之一，其培养方向包括计算机视觉及应用、数据挖掘及应用、智能化感知与控制系统。本领域依托计算机科学与技术、控制科学与工程、信息与通信工程等一级学科硕士学位授权点，旨在培养具有实践创新能力和解决人工智能及信息技术领域工程实际问题能力的高层次、应用型工程技术和工程管理人才。"
