专业名称,专业课程
车辆工程,材料力学、机械原理、机械设计、汽车构造、汽车理论、汽车电子控制技术、汽车试验学、石油特车设计。
应用化学,应用化学专业本科核心课程有：有机化学、物理化学、石油化学、油田应用化学、精细化工工艺学、高分子化学与物理等。
材料化学,材料化学专业本科核心课程有：材料化学、材料物理、材料科学基础、材料结构表征与应用、结构化学等。
化学工程与工艺,化学工程与工艺专业的核心课程有物理化学、化工原理、化学反应工程、化工热力学、石油炼制工程等。
能源与动力工程,能源与动力工程专业本科核心课程有：工程流体力学、工程热力学、传热学、燃烧与污染控制、能源转化。
材料科学与工程,材料科学与工程专业本科核心课程有：材料科学基础、材料工程基础、工程材料学、材料分析技术、材料性能学，金属腐蚀学等。
油气储运工程,油气储运工程专业本科核心课程有：工程流体力学、传热学、输油管道设计与管理、输气管道设计与管理、油气集输、油库设计与管理等。
应用物理学,核心课程有：理论力学、电动力学、量子力学、热力学与统计物理、固体物理、计算物理等。
石油工程,"石油工程专业本科核心课程有：油田开发地质学、油层物理、渗流力学、工程力学、流体力学、岩石力学、油藏工程、钻井工程、采油工程、油田化学等。
"
海洋油气工程,海洋油气工程专业本科核心课程有：海洋油气钻井工程、海洋油气开采工程、海洋油气集输工程、海洋油气工程装备、海洋油气作业与安全、海洋油气开发环保、油气田开发基础、流体力学等。
软件工程,海洋油气工程专业本科核心课程有：海洋油气钻井工程、海洋油气开采工程、海洋油气集输工程、海洋油气工程装备、海洋油气作业与安全、海洋油气开发环保、油气田开发基础、流体力学等。
电气工程及其自动化,电机学、电力电子技术、电力工程、电力系统分析、电力拖动自动控制系统等。这些核心课程主要讲述电能的产生、变换、传输、分配、使用和保护等。
建筑学,建筑学专业本科核心课程有：建筑初步、建筑设计原理、建筑设计、中外建筑史、建筑物理、建筑构造、建筑力学、建筑结构、城市规划原理、工业建筑设计、建筑师业务基础与实践等。
安全工程,安全工程专业本科核心课程有：安全风险学、安全监督与管理、安全工程信息化技术、安全检测与监测、过程安全工程、事故调查与案例分析等。
化学,化学专业本科核心课程有：无机化学、有机化学、物理化学（含结构化学）、分析化学（含仪器分析）和高分子化学等。
环保设备工程,环保设备工程专业本科核心课程有：工程热力学、机械设计基础、流体力学与流体机械、环境工程原理、环保设备设计、环境工程学等。
勘查技术与工程,"勘查技术与工程专业本科核心课程有：弹性波动力学、地震勘探原理、电磁场论、核物理学、信号分析、测井方法与原理。
"
地质学,地质学专业本科核心课程有：普通地质学、结晶学与晶体光学、矿物岩石学、沉积学、构造地质学、古生物地史学、地球化学、矿床学、石油天然气地质学、海洋地质学等。
通信工程,通信工程专业核心课程有：信号与系统、计算机网络、通信原理、通信电子线路、数字信号处理、信息论与编码等。
计算机科学与技术,数据结构、计算机组成原理、数据库原理、操作系统、计算机网络、数据分析
土木工程,土木工程专业本科核心课程有：土木工程制图、理论力学、材料力学、结构力学、房屋建筑学、土木工程材料、土力学与基础工程、钢筋混凝土结构设计原理、钢结构原理、土木工程施工等。
机械设计制造及其自动化,机械设计制造及其自动化专业本科核心课程有：理论力学、材料力学、机械设计、控制工程基础、油气装备工程、机电信息检测与处理技术、机械制造工程基础、机电系统设计等。
过程装备与控制工程,过程装备与控制工程专业本科核心课程有：材料力学、工程热力学、工程流体力学、化学工程基础、机械设计基础、过程设备设计、过程流体机械、过程装备测控技术等。
数学与应用数学,数学与应用数学专业本科核心课程有：数学分析、高等代数与几何、概率论与数理统计、数学建模、最优化方法等。
能源化学工程,能源化学工程专业本科核心课程有：物理化学、化工原理、化学反应工程、化工热力学、煤化工工艺学、生物化工基础、能源化工设计等。
光电信息科学与工程,光电信息科学与工程专业本科核心课程有：应用光学、物理光学、激光原理与技术、信息光学、光通信原理与技术、半导体物理与器件、光电检测技术、微机检测技术与系统等。
建筑环境与能源应用工程,建筑环境与能源应用工程专业的核心课程有：工程热力学、工程流体力学、传热学、城市燃气输配、输气管道设计与管理、燃气燃烧与应用、暖通空调、建筑环境学等。
信息与计算科学,信息与计算科学专业的核心课程主要包括两个方面，一是数学基础类核心课程包括数学分析、高等代数与几何、数值计算方法、概率论与数理统计；另一类是专业方向核心课程包括数学建模、高性能并行计算、数据结构与算法、信息论基础、偏微分方程数值解等课程。
地球物理学,"地球物理学专业本科核心课程有如下几类：第一类是数理基础，主要包括高等数学、力学、热学、光学、电磁学、电磁场论、弹性波动力学、数学物理方法、复变函数等；第二类是地质学基础，主要包括岩石矿物学、构造地质学、石油地质学、沉积岩石学等；第三类是专业方向课程，主要包括地球动力学基础、地震学、地磁与地电、重力与固体潮、地震勘探等。
"
材料物理,材料物理专业本科核心课程有：材料物理、材料科学基础、材料化学、固体物理、计算材料学等。
工程管理,工程管理专业本科核心课程有：工程项目管理、施工组织学、工程经济学、项目财务管理、工程估价、合同管理、经济法与建设法规、BIM技术原理及应用、运筹学等。
工程力学,工程力学专业本科核心课程有：理论力学、材料力学、弹性力学、结构力学、塑性力学基础、有限单元法、振动力学等。
环境工程,环境工程专业本科核心课程有：环境化学、环境工程原理、环境工程微生物学、水处理工程、环境监测、大气污染控制工程等。
船舶与海洋工程,船舶与海洋工程专业本科核心课程有：船舶流体力学、船舶结构力学、海洋工程环境、船舶原理、船舶设计原理、海洋平台工程、海洋石油工程等。
测绘工程,测绘工程是一门专业性很强的工学专业，内容涵盖测绘、遥感、数学、计算机科学与技术、地图学等学科。
英语,英语专业本科核心课程有：交际英语、英语写作、高级科技英语阅读、英汉语言对比、英美文学史及作品选读、翻译概论等。
资源勘查工程,资源勘查工程专业本科课程有数学、物理、化学、计算科学等基础课程，矿物学、岩石学、地层学、构造地质学、能源地质学、工程地质学、地球物理勘探、地球物理测井等专业核心课程
工业设计,工业设计专业本科核心课程有：平面与色彩构成、形态设计、工业设计史、产品效果图表达、工程制图、产品设计、人机工程学等。
俄语,专业核心课程有：基础俄语、俄语语法、高级俄语、俄语翻译、俄语视听说、俄罗斯文学史。
电子信息工程,专业学习的内容包括电子电路、信号与信息处理、计算机原理与程序设计、人工智能模型和算法、嵌入式系统设计等课程，这些课程不仅囊括了扎实的理论基础，同时还涉及了大量的工程实践。通过本专业的学习不仅可以掌握计算机和信息科学的理论知识，熟悉当前科技发展的前沿方向，还能具备扎实的电子电路设计、计算机编程与应用的工程实践能力。
信息管理与信息系统,学习的内容涵盖计算机学科和管理学科的核心课程。管理学科方面有会计学、经济学、管理学、统计学；计算机方面有高级语言程序设计、数据结构、数据库、操作系统、计算机网络。两学科综合课程有商务数据分析、数据挖掘、电子商务、管理信息系统、信息资源管理等。
会计学,会计学专业开设了基础会计学、中级财务会计、高级财务会计、成本管理会计、财务管理学、审计学、国际会计比较等核心课程，通过理论研究、案例讨论等丰富的课堂形式，帮助学生全面掌握会计计量方法，理解会计准则和制度发展趋势，了解会计核算与监督职能。会计理论、会计专业英语等双语课程，以及经济学、金融学等专业基础课程的同步开设能帮助学生建立全球视野，掌握国际前沿的会计理论研究方法，提高综合方法运用能力和问题解决能力。
自动化,其中学科基础课包括高等数学、大学物理、化工原理、微机原理、电路分析等；学科专业课程包括自动控制原理、现代控制理论、传感器与检测基础、过程控制仪表与装置、过程控制工程等。
市场营销,市场营销专业本科核心课程有：管理学、市场营销学、市场调查与预测、广告策划与设计、国际营销学、网络营销理论与实务、消费者行为学等。
经济学,经济学专业本科核心课程有：政治经济学、微观经济学、宏观经济学、金融学、产业经济学、计量经济学、国际贸易理论与实务等。
汉语言文学,汉语言文学专业的核心课程有：现代汉语、古代汉语、中国现代文学、中国古代文学、外国文学、文学概论。
法学,法学专业本科核心课程有：宪法学、法理学、刑法学、民法学、经济法学、行政法学、诉讼法学、环境法学等。
测控技术与仪器,测控技术与仪器专业本科核心课程主要包括：模拟和数字电子技术、微机原理、传感器原理、自动控制原理、精密机械设计、工程光学、仪器设计技术基础、测试信号分析与处理、控制技术与系统、嵌入式系统开发、机器人及运动控制系统、工业网络控制系统、物联网控制技术等。
地理信息科学,核心课程有：地理信息系统原理、地图学基础、遥感原理及应用、卫星定位原理及应用、数字地形测量学、GIS应用开发、GIS空间分析等。
音乐学,中西音乐史；民族民间音乐；独奏（弦乐）；钢琴；声乐.；和声；曲式等。
碳储科学与工程,碳储科学与工程专业本科核心课程有：碳储地质学、二氧化碳捕集原理及利用技术、二氧化碳化学转化与利用原理、碳储封存原理与技术、二氧化碳提高油气采收率原理与方法、二氧化碳储存运输、二氧化碳驱油埋存数值模拟方法。
化工安全工程,化工安全工程专业本科核心课程有：物理化学、石油化工工艺学、化工原理、化工安全仪表、化工设备安全、安全系统工程、化工过程安全。
智能制造工程,机械工程基础、智能工程基础、控制工程基础、计算机科学与技术、机械设计工程基础、机械制造工程基础、制造信息化技术，智能制造系统规划与设计、机电信息检测与处理技术、微控制器原理与接口技术、传感器与检测技术
储能科学与工程,储能科学与工程专业的核心课程有储能原理为技术、物理化学、化学电源技术、氢能技术与应用等。
新能源科学与工程,新能源科学与工程专业本科核心课程有：工程热力学、工程流体力学、传热学、机械设计基础、可再生能源基础、太阳能热利用原理与技术、储能原理与技术等。
智能感知工程,本专业核心课程有：传感器与检测基础、误差理论与数据处理、智能传感器与信息融合、光学感知技术、人工智能技术、智能感知系统设计基础
智能科学与技术,智能科学与技术专业本科核心课程有：数据分析、机器学习、深度学习、计算机视觉、自然语言处理、可视化导论等。
数据科学与大数据技术,数据科学与大数据技术专业的核心课程有：机器学习、神经网络与深度学习、统计计算、应用统计学、数据挖掘与模式识别。另外，与大数据相关的课程主要有：大数据采集与清洗、数据融合与同化、数据安全和区块链、数据库原理与应用、并行计算与分布式计算、云计算基础、石油大数据处理与分析、海洋大数据处理与分析、数据可视化、大数据平台实践。
