学院名称,专业及方向,招生人数,考试科目,复试专业课,2023复试线
001地球科学与技术学院,"
070700海洋科学
01海洋地质学
02物理海洋学
03海洋信息技术",2,"①101政治
②201英语一
③302数学二
④869普通地质学
",石油地质与勘探或地震数据处理方法,279
001地球科学与技术学院,"070800地球物理学
01油气地球物理学
02岩石物理学
03计算地球物理学",10,"①101政治
②201英语一
③601地学数学基础
④861地震勘探原理与方法
",地震数据处理方法或信号分析,279
001地球科学与技术学院,"070900地质学
01矿物学、岩石学、矿床学
02构造地质学
03地球化学
04古生物学与地层学",24,"①101政治
②201英语一
③601地学数学基础
④869普通地质学
",石油地质与勘探,279
001地球科学与技术学院,"081800 地质资源与地质工程
01油气地质与勘探",27,"①101政治
②201英语一
③302数学二
④809石油与天然气地质学
",开发地质学或综合地质考试,260
001地球科学与技术学院,04地球物理理论、方法与应用,16,"①101政治
②201英语一
③302数学二
④861地震勘探原理与方法
",地震数据处理方法或信号分析,260
001地球科学与技术学院,05测井理论、方法与技术,10,"①101政治
②201英语一
③302数学二
④870矿场地球物理
",测井资料处理与综合解释,260
002 石油工程学院,"
082000 石油与天然气工程
01油气井工程理论与技术
02油气开采工程理论与技术
03渗流理论与油气藏开发工程
04油气田化学与提高采收率技
术
05海洋油气工程理论与技术
06油气工程信息与智能技术
07非常规地质能源开发工程理
论与技术
08地下储碳储能理论与技术",84,"①101政治
②201英语一
③302数学二
④811工程流体力学
",石油工程概论,273
002 石油工程学院,"082401 船舶与海洋结构物设计制
造
01 船舶与海洋结构物及油气装
备设计制造
02 海洋工程流体动力学
03 海洋岩土工程",4,"①101政治
②201英语一
③301数学一
④811工程流体力学
",海洋平台工程,260
003 化学化工学院,"
070300化学
01无机化学
02有机化学
03分析化学
04物理化学
05能源化学",24,"①101政治
②201英语一
③706有机化学
④814物理化学
",无机及分析化学,367
003 化学化工学院,"081700化学工程与技术
01石油化工
02能源化工
03 生物化工
04工业催化
05化学工程
06应用化学与材料化工",54,"①101政治
②201英语一
③302数学二
④814物理化学
",化工原理,312
003 化学化工学院,"081703生物化工
01生物材料化工
02生物能源化工
03生物技术及应用",13,"①101政治
②201英语一
③302数学二
④814物理化学
",生物化学,273
003 化学化工学院,"083000环境科学与工程
01减污降碳与资源化利用
02风险评估与控制
03污染环境生态修复",15,"①101政治
②201英语一
③302数学二
④820环境工程学
",环境基础,316
004机电工程学院,"
080200机械工程
01 海洋油气装备工程
02 石油机械工程
03 机械制造及其自动化
04 机械电子工程
05 机械设计及理论",15,"①101政治
②201英语一
③301数学一
④822机械原理
",机械综合,314
004机电工程学院,"083700安全科学与工程
01 油气及新能源安全工程
02 安全工程信息化技术
03 海洋油气安全工程
04 化工过程安全工程
05应急技术及管理",6,"①101政治
②201英语一
③302数学二
④825安全系统工程
",安全工程综合,338
006储运与建筑工程学院,"
080100力学
01结构强度及可靠性
02油气深层岩石力学
03先进材料与结构力学",12,"①101政治
②201英语一
③301数学一
④833工程力学
",工程力学专业综合,262
006储运与建筑工程学院,"081400土木工程 ★
01岩土工程
02结构工程
03防灾减灾工程及防护工程",4,"①101政治
②201英语一
③301数学一
④832土木工程专业综合
(含土力学与混凝土结构)
",土木工程专业综合(含材料力学、结构力学、基础工程、钢结构),280
006储运与建筑工程学院,"04供热、供燃气、通风及空调
工程",5,"①101政治
②201英语一
③301数学一
④811工程流体力学
",建环专业综合(含城市燃气输配、传热学、工程热力学),274
006储运与建筑工程学院,"082003油气储运工程
01油气集输
02管道运输与储存
03油气储运安全",10,"①101政治
②201英语一
③302数学二
④831油气储运专业综合
(含工程流体力学、传热学)
",综合考试(含输油管道设计与管理、油气集输与矿场加工、油库设计与管理、输气管道设计与管理),280
006储运与建筑工程学院,"014材料科学与工程学院
080500材料科学与工程
01材料焊接新技术
02材料腐蚀与防护
03金属失效与表面工程
04材料设计与多尺度模拟
05能源转化与储存材料
06功能薄膜/多孔材料",14,"①101政治
②201英语一
③302数学二
④826 材料科学基础
",工程材料或材料化学或材料物理,328
015新能源学院,"
080700动力工程及工程热物理★
01化工过程机械",6,"①101 政治
②201 英语一
③301 数学一
④868力学基础
",综合考试A(含过程流体机械、过程设备设计),271
015新能源学院,02热能工程,7,"①101政治
②201 英语一
③301 数学一
④817 工程热力学
",传热学,304
015新能源学院,"0807J5 新能源科学与工程(交叉
学科)
01 新能源开发与利用
02 新能源存储与转化",3,"①101 政治
②201 英语一
③301 数学一
④867 普通化学
",化学基础综合,260
015新能源学院,"080800电气工程
01电机与电器
02电力电子与电力传动
03电力系统及其自动化",8,"①101政治
②201英语一
③301数学一
④828电路
",电机学,341
015新能源学院,"016海洋与空间信息学院
081000信息与通信工程
01信号与信息处理
02通信与信息系统",14,"①101政治
②201英语一
③301数学一
④830信号与系统
",数字电子技术综合(机考+笔试),334
015新能源学院,"081600测绘科学与技术
01大地测量学与测量工程
02摄影测量与遥感
03地图制图学与地理信息工程
04海洋测绘",10,"①101政治
②201 英语一
③301 数学一
④855数字测图原理与方法
",3S 技术综合,306
005控制科学与工程学院,"
081100控制科学与工程
01 油气开发测控技术
02智能控制与优化技术
03模式识别与智能感知技术",14,"①101政治
②201英语一
③301数学一
④829自动控制理论
",控制工程,332
005控制科学与工程学院,"0811Z1精密测量与测控仪器
01精密测量与微加工技术
02油气开发检测技术
03微纳传感技术与微系统",7,"①101政治
②201英语一
③301数学一
④865传感器原理
",检测技术,297
007青岛软件学院、计算,"
机科学与技术学院
081200计算机科学与技术
01智能信息处理
02网络与服务计算
03图形图像与可视化
04数据科学与信息系统",13,"①101政治
②201英语一
③301数学一
④408计算机学科专业基础
",专业综合(含软件工程学基础、高级语言编程(C与C++))(上机考试),302
007青岛软件学院、计算,"083500 软件工程
01软件工程理论
02软件工程技术
03油气领域软件服务工程",7,"①101政治
②201英语一
③301数学一
④408计算机学科专业基础
",专业综合(含软件工程学基础、高级语言编程(C与C++))(上机考试),273
008经济管理学院,"
020200应用经济学
01能源经济与政策
02产业经济与区域发展
03资源与环境经济",5,"①101 政治
②201 英语一
③303 数学三
④ 839 经济学
",产业经济学,362
008经济管理学院,"120100 管理科学与工程
01能源经济系统管理与政策分析
02运营与供应链管理
03工程管理与项目管理
04数据科学与管理",14,"①101政治
②201 英语一
③303 数学三
④838 管理学
",运筹学,363
008经济管理学院,"120200工商管理学
01 企业战略与可持续发展
02营销与服务管理
03组织与人力资源管理",4,"①101政治
②201 英语一
③303 数学三
④838管理学
",市场营销学,340
008经济管理学院,"120201 会计学
01财务会计与审计理论方法
02管理会计与智能会计理论方法
03财务管理与资本市场理论方法",3,"①101政治
②201 英语一
③303数学三
④ 840财务会计学
",财务成本管理,340
009理学院,"
070100 数学
01基础数学
02计算数学
03应用数学
04运筹学与控制论
05数据科学与信息安全
06概率论与数理统计",18,"①101政治
②201英语一
③602数学分析
④842高等代数
",数学综合(内容包括泛函分析初步、常微分方程和数值计算方法),307
009理学院,"070200 物理学 ★
01物理场探测方法与技术
02能源物理理论与技术
03凝聚态物理
04理论物理",16,"①101政治
②201英语一
③705普通物理
④843量子力学
",电动力学,362
009理学院,05光学,4,"①101政治
②201英语一
③301数学一
④845大学物理
",光学,273
010文法学院,"
030100法学
01 刑事法学
02 民商法学
03 经济法学
04 行政法学
05 环境与资源保护法学",15,"①101政治
②201英语一或202俄语或203日语
③710法学基础(含民法学、刑法学)
④848法学综合(含行政法学、经济法学)
",环境与资源保护法学,352
010文法学院,"017外国语学院
050200外国语言文学
01外国文学
02外国语言学及应用语言学
03翻译学
04语言智能与全球治理",14,"①101政治
②242俄语或243日语或244德语或245法语或247西班牙语
③712基础英语
④850综合英语
",英语语言文学综合能力,369
011马克思主义学院,"
030500马克思主义理论
01 马克思主义基本原理
02马克思主义发展史
03 马克思主义中国化研究
04 思想政治教育
05 中国近现代史基本问题研究
06党的建设",20,"①101思想政治理论
②201英语一或202俄语或203日语
③718马克思主义基本原理综合
④864中国化马克思主义理论综合
",马克思主义发展史,378
012 体育教学部,"
040300体育学
01 专项教学理论与方法
02 专项训练理论与方法
03 社会体育与健康管理",3,"①101政治
②201英语一
③716体育学专业基础综合(体育概论、运动生理学、运动训练学)
",学校体育学,329
