Major,Minimum admission score in 2023,Minimum admission rank in 2023,Minimum admission score in 2022,Minimum admission rank in 2022,
会计学,606,20656,592,20153,会计学专业面向经济高质量发展对会计人才的需求，服务于我国经济转型升级，致力于建设成为国内一流、特色鲜明的会计学专业。培养具有创新意识、职业素养、国际视野，掌握管理学、经济学基础知识，具备会计理论和会计技能，能够在企事业单位从事会计、审计、财务管理等工作的高层次会计人才。2010年申报MPAcc专业学位硕士点，2013年开始与ICAEW合作招收ACA会计师实验班，2019年开设ACCA会计师方向班。三年平均一次就业率87.4%，34.2%的毕业生就业于世界500强企业，集中于石油石化、金融、制造、租赁和商业服务业等；毕业生升学率稳步上升，近3年平均升学率为22%，集中于中央财经大学、天津大学、厦门大学等双一流高校；毕业生平均出国率为16.2%，主要前往澳大利亚、英国、美国等知名院校。
俄语,590,31426,586,24009,培养具有扎实的俄语语言基础知识，较强的俄语语言交际能力，一定的石油、石化相关知识，以及较高程度英语水平的复合型人才。毕业生既可在石油石化企业、合资企业、外经贸及其它领域从事俄语、英语的翻译和管理工作，又可在科研单位从事与俄语专业相关的科研工作。
储能科学与工程,605,21260,588,22673,储能科学与工程专业致力于电化学储能、氢能等新兴可再生能源当前我国正处于“双碳”战略和能源转型的关键时期，而储能技术作为新能源发展的核心支撑，在推动能源革命和能源新业态发展方面具有至关重要的作用。为了培养储能产业的高端人才，我校于2020年设置了储能科学与工程专业，这是我校在专业调整方面的一大重要举措，旨在培养电化学储能、氢能等方向的高端专业人才和复合人才。领域储能技术的研究，从新材料、新技术、新装备的角度开展理论研究、技术开发和装备设计，解决储能领域的相关科学和技术问题。
光电信息科学与工程,610,18428,591,20748,光电信息科学与工程是一个涵盖光学、电子学和信息技术等多学科知识的综合性学科。其研究范围涉及光电信息的获取、传输、处理、存储和显示等环节，旨在探索如何将光电技术应用于解决现实生活和工程领域中的问题，并推动科学技术的发展和社会进步
勘查技术与工程,596,27050,580,28545,勘查技术与工程专业是石油工业十大学科之一，被誉为石油工业的眼睛。勘查技术与工程专业综合运用专业仪器与专业软件，利用地震、重力、磁法、电法及电磁等物理方法，对地下介质的物理场分布及其特征进行观测，探测地下介质构造与岩层属性，进行油气、地热、地下水等矿藏资源勘查、环境和工程监测。勘查技术与工程专业依托学校“双一流”学科优势，围绕“地球物理方法及应用”形成了本-硕-博、工程硕士-博士和岗位技能培训等多层次的人才培养体系，大大拓展了专业办学空间，增强了社会服务功能，提高了专业的办学水平，学生就业面广，具有很强的竞争力。就业行业与单位：中国石油、中国石化和中国海洋石油等公司的物探研究院、测井公司、勘探开发研究院、采油厂等国内石油企业，以及Schlumberger、GE-BakerHughes、Halliburton、BP等国际公司
化学,601,23708,588,22673,化学工程系前身是1953年成立的石油工学教研室，2011年，原石油炼制系（炼油教研室、有机化工教研室）、化学工程系（化工原理教研室）合并为化学工程系。现有专任教师45人，其中教授9名，副教授28名，讲师8名；博士生和硕士生导师28名。教师团队中有山东省教学名师1名，青岛市教学名师1名，中国石油石化行业教学名师1名，校级教学名师2名，建有3个省部级优秀教学团队。
化学工程与工艺,595,27755,581,27731,"专业基本情况及特色

2007年首批通过工程教育专业认证

2008年获批国家级特色专业

2010年首批入选“卓越工程师教育培养计划”试点专业

2020年首批入选国家级一流本科专业

本专业依托化学工程与技术一级博士点授权学科(第四轮学科评估A-)、化学工艺国家重点学科及重质油国家重点实验室，拥有本科、硕士、博士、博士后流动站完整人才培养体系，在学生培养过程中强化学生工程实践和创新能力，构建了产学研深度融合、石化特色鲜明的专业人才培养体系，培养了以“厚基础、重实践和强能力”为核心的专业技术人才。

本专业具有良好的社会声誉和认知度，自1953年建校以来为国家培养一万多名建设人才，毕业生中有许多成为国家科学研究、工程应用领域骨干（7名两院院士）及国家与企事业单位的领导人（吴仪、李毅中等）。

培养目标

本专业面向国家石化和化学工业发展需求，以石油化工为特色，培养身心健康、德智体美劳全面发展的社会主义事业合格建设者和可靠接班人，能够适应炼化一体化、智能化和可持续发展的需求，具有创新精神和国际视野，能够在以石油化工为代表的化工、能源、材料、环保和军工等部门，从事工程设计、技术开发、生产运行与项目管理、科学研究等工作。"
化工安全工程,594,28500,581,27731,"以教育部“新工科”思想为指导，化学工程与工艺为基础，贯穿过程安全理念，融合过程装备与控制、自动化仪表、工程管理等为支撑的多学科交叉专业体系，协同政府、行业协会、企业以及国内外专家共同实施人才培养，面向化工相关行业，培养具有独立思维、创新意识和国际视野的“知工艺、懂安全、精技术、会管理”复合型人才。培养保障化工相关行业健康绿色发展的“安全卫士”，为工程穿上铠甲，为化工换上新装。 
就业方向

毕业后能够在石油、煤炭及其他燃料加工业、化学原料和化学制品制造业、医药制造业、化学纤维制造业工作，尤其是在化工相关部门从事过程安全设计、过程安全技术开发、安全生产运行、过程安全科学研究、过程安全管理等工作。

学制四年，具有硕士和博士学位授予权。"
土木工程,594,28500,580,28545," 本专业培养工程材料、结构分析与设计、地基处理、工程测量与实验、施工技术等方面的高级工程技术人才。毕业生可从事房屋建筑、地下建筑、道路、桥梁、铁路、机场、港口的规划、勘测、设计、施工管理、监理、造价和房地产开发以及工程技术研究等工作。

    学制四年。本专业具有硕士学位授予权。"
地球物理学,600,24346,585,24714,"国家级特色专业、首批入选国家级一流本科专业。

地球物理学利用现代物理方法研究地球结构特征，通过对重力、地磁、地电和地震波等各种物理场的观测和定量描述，结合现代信息技术与大数据分析，探索地球深部构造及其相关的矿产资源、地震防灾减灾、地下空间利用、海洋和大气演化等。达到给地球做“智能CT”的目的。

本专业核心课程：地球动力学基础、地磁与地电、地震学、地震勘探、重力与固体潮。

毕业生既能胜任地球深部构造研究、天文学相关研究或高校教师工作；还可以从事地下各类矿产资源探测和地下空间开发等工程；更是从事地震预测和防震减灾等工作的主力军；良好的数理基础使得毕业生在软件研发和人工智能领域同样具有核心竞争力。



"
